experiment_name,model_type,target_type,combined_accuracy,precision_weighted,recall_weighted,f1_weighted,training_time,evaluation_time,active_accuracy,passive_accuracy,mae,rmse,r2,mae_normalized
gender_baseline_1s,gender_cnn,gender,0.8151299105822536,0.830887694627129,0.8151299105822536,0.8182638071193811,10278.34887623787,991.3127512931824,0.849674052874261,0.809671024221725,,,,
age_classification_1s,age_cnn,age,0.5209490908251897,0.5270302391583336,0.5209490908251897,0.4737797171125912,23509.100257635117,1199.4714939594269,0.517843979012185,0.5201585993012209,,,,
age_regression_1s,age_regression_cnn,age,,,,,36620.29268693924,929.2163321971893,,,2.082918882369995,2.772726736196588,0.3678346872329712,0.12350396066904068
