experiment_name,model_type,target_type,combined_accuracy,precision_weighted,recall_weighted,f1_weighted,training_time,evaluation_time,active_accuracy,passive_accuracy,mae,rmse,r2,mae_normalized
gender_baseline_2s,gender_cnn,gender,0.8020520144317499,0.8323170025550112,0.8020520144317499,0.8061542157058524,10482.523587703705,557.0651752948761,0.839048860673393,0.7960800830607088,,,,
age_classification_2s,age_cnn,age,0.5347514531970334,0.5478274471164093,0.5347514531970334,0.4809813577470168,19258.176260471344,560.1162376403809,0.5333578959301667,0.5350706211922346,,,,
age_regression_2s,age_regression_cnn,age,,,,,30886.935205221176,547.748443365097,,,2.0010058879852295,2.686640757332465,0.4064965844154358,0.1186470091342926
