experiment_name,model_type,target_type,combined_accuracy,precision_weighted,recall_weighted,f1_weighted,training_time,evaluation_time,active_accuracy,passive_accuracy,mae,rmse,r2,mae_normalized
gender_baseline_4s,gender_cnn,gender,0.8079614819894015,0.8229610355928946,0.8079614819894015,0.8111015698521189,7763.974479675293,341.8993363380432,0.8346460451572868,0.8032802812174312,,,,
age_classification_4s,age_cnn,age,0.545207235542703,0.5595886191760806,0.545207235542703,0.49340951951317885,17208.233402252197,351.6877076625824,0.5354432192467421,0.5459363021320944,,,,
age_regression_4s,age_regression_cnn,age,,,,,20701.374438285828,342.02850461006165,,,1.9974819421768188,2.669940627505926,0.4168122410774231,0.11843809485435486
