source_summary_path,source_dir,experiment_name,model_type,target_type,task_kind,success,description,total_time_s,training_time_s,evaluation_time_s,accuracy,f1_weighted,roc_auc,active_accuracy,passive_accuracy,mae,rmse,r2,active_mae,passive_mae,active_rmse,passive_rmse,active_r2,passive_r2,checkpoint_path,error,experiment_report_html,experiment_results_csv
final_logs/RESNET/RESNET50_age_4s/experiment_summary.json,final_logs/RESNET/RESNET50_age_4s,age_resnet50_4s,age_resnet50,age,classification,True,"ResNet50 age classification with 4s segments (train on both, evaluate separately on active and passive)",17409.721514940262,17128.454268217087,281.26724123954773,0.5306586371123417,0.48439577034065273,0.7431856785070831,0.5349658694925772,0.5298616876578757,,,,,,,,,,./final_logs6/checkpoints/age_resnet50_4s_best.pth,,final_logs/RESNET/RESNET50_age_4s/experiment_report.html,final_logs/RESNET/RESNET50_age_4s/experiment_results.csv
final_logs/LaBraM/labram_age_1s/log.txt,final_logs/LaBraM/labram_age_1s,labram_age_1s,labram,age,classification,True,LaBraM fine-tuning (labram_age_1s) — best epoch by val_accuracy,,,,0.5195555768105363,,,0.5352,0.5169,,,,,,,,,,,,,
final_logs/LaBraM/labram_age_2s/log.txt,final_logs/LaBraM/labram_age_2s,labram_age_2s,labram,age,classification,True,LaBraM fine-tuning (labram_age_2s) — best epoch by val_accuracy,,,,0.5730058769793547,,,0.584284,0.571057,,,,,,,,,,,,,
final_logs/LaBraM/labram_age_4s/log.txt,final_logs/LaBraM/labram_age_4s,labram_age_4s,labram,age,classification,True,LaBraM fine-tuning (labram_age_4s) — best epoch by val_accuracy,,,,0.5927181469020877,,,0.59674,0.591974,,,,,,,,,,,,,
final_logs/CNN/CNN_1s/experiment_summary.json,final_logs/CNN/CNN_1s,age_regression_1s,age_regression_cnn,age,regression,True,"Age regression baseline with 1s segments (train on both, evaluate separately)",36620.29268693924,35691.07633924484,929.2163321971893,,,,,,2.082918882369995,2.772726736196588,0.3678346872329712,2.014528274536133,2.0956828594207764,2.699376235541211,2.7894349263613485,0.42652642726898193,0.35473573207855225,./final_logs2/checkpoints/age_regression_1s_best.pth,,final_logs/CNN/CNN_1s/experiment_report.html,final_logs/CNN/CNN_1s/experiment_results.csv
final_logs/CNN/CNN_2s/experiment_summary.json,final_logs/CNN/CNN_2s,age_regression_2s,age_regression_cnn,age,regression,True,"Age regression baseline with 2s segments (train on both, evaluate separately)",30886.935205221176,30339.18675160408,547.748443365097,,,,,,2.0010058879852295,2.686640757332465,0.4064965844154358,1.9409886598587036,2.014366865158081,2.578486099386185,2.707654564726144,0.47643375396728516,0.39201104640960693,./final_logs/checkpoints/age_regression_2s_best.pth,,final_logs/CNN/CNN_2s/experiment_report.html,final_logs/CNN/CNN_2s/experiment_results.csv
final_logs/CNN/CNN_4s/experiment_summary.json,final_logs/CNN/CNN_4s,age_regression_4s,age_regression_cnn,age,regression,True,"Age regression baseline with 4s segments (train on both, evaluate separately)",20701.374438285828,20359.34591460228,342.02850461006165,,,,,,1.9974819421768188,2.669940627505926,0.4168122410774231,1.9635088443756104,2.0038793087005615,2.602347498959464,2.679788748827468,0.467501699924469,0.40751582384109497,./final_logs/checkpoints/age_regression_4s_best.pth,,final_logs/CNN/CNN_4s/experiment_report.html,final_logs/CNN/CNN_4s/experiment_results.csv
final_logs/CNN/CNN_1s/experiment_summary.json,final_logs/CNN/CNN_1s,gender_baseline_1s,gender_cnn,gender,classification,True,"Gender classification baseline with 1s segments (train on both, evaluate separately)",10278.34887623787,9287.036108255386,991.3127512931824,0.8151299105822536,0.8182638071193811,0.9024711278130781,0.849674052874261,0.809671024221725,,,,,,,,,,./final_logs2/checkpoints/gender_baseline_1s_best.pth,,final_logs/CNN/CNN_1s/experiment_report.html,final_logs/CNN/CNN_1s/experiment_results.csv
final_logs/CNN/CNN_2s/experiment_summary.json,final_logs/CNN/CNN_2s,gender_baseline_2s,gender_cnn,gender,classification,True,"Gender classification baseline with 2s segments (train on both, evaluate separately)",10482.523587703705,9925.458398342133,557.0651752948761,0.8020520144317499,0.8061542157058524,0.9078775868989721,0.839048860673393,0.7960800830607088,,,,,,,,,,./final_logs/checkpoints/gender_baseline_2s_best.pth,,final_logs/CNN/CNN_2s/experiment_report.html,final_logs/CNN/CNN_2s/experiment_results.csv
final_logs/CNN/CNN_4s/experiment_summary.json,final_logs/CNN/CNN_4s,gender_baseline_4s,gender_cnn,gender,classification,True,"Gender classification baseline with 4s segments (train on both, evaluate separately)",7763.974479675293,7422.0751321315765,341.8993363380432,0.8079614819894015,0.8111015698521189,0.895788118049844,0.8346460451572868,0.8032802812174312,,,,,,,,,,./final_logs/checkpoints/gender_baseline_4s_best.pth,,final_logs/CNN/CNN_4s/experiment_report.html,final_logs/CNN/CNN_4s/experiment_results.csv
